Task-1:

	distanceFinder('10.1.2.10')

	Expected Output:

	10.1.2.10, 10.1.2.10, 0, 10.1.2.10
	10.1.2.10, 10.1.3.10, 2.0, 10.1.3.10
	10.1.2.10, 10.1.4.10, 5.0, 10.1.3.10
	10.1.2.10, 10.1.5.10, 1.0, 10.1.5.10

Task-2:
	
	updateRouterCost('10.1.3.10','10.1.4.10',10,'10.1.2.10')

	Expected Output:

	Case-1
	10.1.2.10, 10.1.2.10, 0, 10.1.2.10
	10.1.2.10, 10.1.3.10, 2.0, 10.1.3.10
	10.1.2.10, 10.1.5.10, 1.0, 10.1.5.10
	Case-2
	10.1.2.10, 10.1.4.10, 12.0, 10.1.5.1

Task-3:

	addRouter('10.1.6.10',['10.1.5.10','10.1.4.10'],[3,4],'10.1.2.10')

	Expected Output:

	10.1.2.10, 10.1.2.10, 0, 10.1.2.10
	10.1.2.10, 10.1.3.10, 2.0, 10.1.3.10
	10.1.2.10, 10.1.4.10, 5.0, 10.1.3.10
	10.1.2.10, 10.1.5.10, 1.0, 10.1.5.10
	10.1.2.10, 10.1.6.10, 4.0, 10.1.5.10
